Posicion,Nombre,Puntos Totales,Media,PJ,Ultimos puntos
DF,Álvaro Lemos,6,2,3,-----
MC,Januzaj,6,0.9,7,-2222-
MC,Jordán,6,2,3,-----
DF,Marcos Alonso,6,1.5,4,-----
DF,Kiko Femenía,6,0.9,7,-----
DL,Negredo,6,1,6,2----
DL,Cristian Herrera,5,0.8,6,---25
MC,Fekir,4,2,2,-----
DF,Odriozola,4,2,2,-2---
MC,Coquelin,4,2,2,2---2
MC,San Emeterio,4,1.3,3,-----
DF,Imanol García,4,1,4,-----
MC,Trigueros,4,0.6,7,---2--
DL,Miguel Rodríguez,4,0.5,8,-----
MC,Jhon Solís,4,0.7,6,2-2--
MC,Jon Ander Olasagasti,4,1.3,3,-----
DL,Juan Cruz Díaz,4,1,4,-----
DF,Víctor Díaz,4,1,4,-----
DL,Weissman,4,0.8,5,-----2
DL,Vitor Roque,2,2,1,2----
DL,Enes Ünal,2,2,1,2----
DF,Eric Bailly,2,2,1,2----
DL,Carlos Vicente,2,2,1,2----
DL,Giuliano Simeone,2,2,1,2----
DF,Reinildo Mandava,2,2,1,-----
DF,Sokratis,2,1,2,2----
DL,Carles Pérez,2,0.3,7,-2----2
DF,Jesús Vallejo,2,0.7,3,2----
PT,Unai Marrero,2,2,1,2----
PT,Diego Mariño,2,2,1,-----
DF,Marcão,2,1,2,2----
DF,Bartra,2,0.7,3,-----
DL,Alberto Mari,2,1,2,--2--
DF,Eric Curbelo,2,2,1,-----
DF,Houboulang Mendes,2,0.3,7,-2---
DL,Ibrahima Koné,2,0.3,8,-----
MC,José Mari,2,0.7,3,-----
MC,José Pozo,2,2,1,---2-
DL,Marciano Sanca,2,0.4,5,-----
DL,Mario Dominguez,2,2,1,-----
MC,Pablo Gozálbez,2,1,2,-----
DF,Unai García,2,2,1,---2-
DF,Caglar Söyüncü,-,0,6,---2--
PT,Fernando Martínez,-,0,2,-----
DL,Mariano,-,0,4,-----
MC,Nico Paz,-,0,4,-----
DF,Nolaskoain,-,0,2,-----
DL,Hugo González,-,0,4,-2---
MC,Ibrahima Kébé,-,0,2,-----
DL,Marko Milovanović,-,0,3,-2----
MC,Lemar,-2,-0.7,3,-----
DF,Federico Gattoni,-2,-1,2,-----
MC,Mfulu,-2,-0.4,5,--2---
DF,Miki Bosch,-2,-2,1,-----
DF,Wilson Manafá,-2,-0.5,4,-----2
DF,Álex Centelles,-6,-2,3,-----
DF,Daley Sinkgraven,-6,-1,6,-8-2--
DF,Fabricio Angileri,-8,-1.3,6,-----
MC,Arda Güler,-,-,-,-----
MC,Johnny Cardoso,-,-,-,-----
MC,Ilaix Moriba,-,-,-,-----
MC,Lucien Agoumé,-,-,-,-----
DF,Kamil Piatkowski,-,-,-,-----
MC,Jailson,-,-,-,-----
PT,Pepe Reina,-,-,-,-----
PT,Courtois,-,-,-,-----
PT,Escandell,-,-,-,-----
PT,Grbic,-,-,-,-----
PT,Agirrezabala,-,-,-,-----
PT,Dani Cárdenas,-,-,-,-----
PT,Daniel Fuzato,-,-,-,-----
DL,Álvaro Rodríguez,-,-,-,-----
PT,Cuéllar,-,-,-,-----
PT,Juan Carlos Martín,-,-,-,-----
MC,Borja García,-,-,-,-----
DF,Nikola Maras,-,-,-,-----
MC,Fabio González,-,-,-,-----
PT,Jaume Doménech,-,-,-,-----
DF,Martín Pascual,-,-,-,-----
PT,Adri López,-,-,-,-----
PT,Alfonso Pastor,-,-,-,-----
MC,Brasanac,-,-,-,-----
PT,Cristian Rivero,-,-,-,-----
PT,Dominik Greif,-,-,-,-----
DF,Eric Monjonell,-,-,-,-----
PT,Fuidias,-,-,-,-----
PT,Jesús Owono,-,-,-,-----
DL,Joel Roca,-,-,-,-----
PT,Matías Árbol,-,-,-,-----
DL,Merquelanz,-,-,-,-----
MC,Pablo Marín,-,-,-,-----
MC,Toni Villa,-,-,-,-----
DF,Urko Gonzalez,-,-,-,-----
MC,Vitolo,-,-,-,-----
MC,Yellu Santiago,-,-,-,-----
