,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,IVAN RAKITIC,SEVILLA FC,1321,16,11.11,13,11.11,15,11.11,2,11.11,5,0,0,2,0,0,20
,IVAN ALEJO,CADIZ CF,1143,17,77.78,1,77.78,15,77.78,14,77.78,10,0,0,0,0,0,14
,IVAN BALLIU,RAYO VALLECANO,1342,15,5.56,14,5.56,15,5.56,1,5.56,1,0,0,0,0,0,21
,IVAN MARTIN,GIRONA FC,1302,17,66.67,4,66.67,16,66.67,12,66.67,3,0,0,3,0,0,15
,IVAN VILLAR,RC CELTA,835,10,0.00,10,0.00,10,0.00,0,0.00,0,1,0,0,0,0,15
,IZA CARCELEN,CADIZ CF,1408,17,11.11,14,11.11,16,11.11,2,11.11,1,0,0,0,0,0,19
,IGNACIO PENA SOTORRES,FC BARCELONA,450,5,0.00,5,0.00,5,0.00,0,0.00,0,0,0,0,0,0,8
,INAKI WILLIAMS,ATHLETIC CLUB,1569,18,44.44,10,44.44,18,44.44,8,44.44,3,0,0,8,0,0,17
,JAIME MATA,GETAFE CF,732,16,38.89,3,38.89,10,38.89,7,38.89,4,1,1,1,0,0,12
,JAN OBLAK,ATLETICO DE MADRID,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,19
,JAUME COSTA,RCD MALLORCA,955,17,38.89,4,38.89,11,38.89,7,38.89,5,0,0,0,0,0,14
,JAVI GALAN,ATLETICO DE MADRID,84,5,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,1
,JAVI GUERRA,VALENCIA CF,1296,16,5.56,13,5.56,14,5.56,1,5.56,2,1,0,3,0,0,20
,JAVI HERNANDEZ,CADIZ CF,1401,17,11.11,14,11.11,16,11.11,2,11.11,4,0,0,0,0,0,23
,JAVI LLABRES,RCD MALLORCA,127,10,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,1
,JAVI LOPEZ,DEPORTIVO ALAVES,900,14,11.11,6,11.11,8,11.11,2,11.11,2,0,0,0,0,0,13
,JAVI MUNOZ,UD LAS PALMAS,1259,18,22.22,10,22.22,14,22.22,4,22.22,2,0,0,0,0,0,12
,JESUS ARESO,CA OSASUNA,1182,17,16.67,10,16.67,13,16.67,3,16.67,1,0,0,0,0,0,22
,JESUS CORONA,,16,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JESUS NAVAS,SEVILLA FC,806,12,16.67,6,16.67,9,16.67,3,16.67,3,1,0,0,0,0,13
,JESUS VALLEJO,GRANADA CF,96,2,0.00,1,0.00,1,0.00,0,0.00,1,0,0,0,0,0,4
