Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Borja Iglesias,Real Betis,2.551.857€,20,13,277,0,1,2,0,2,1,1,8,30,0,2,0,0,0,2,0,0,0,0
Mata,Getafe CF,502.314€,20,13,554,0,0,0,2,10,3,2,25,88,0,9,0,0,0,3,1,0,0,0
Momo Cho,Real Sociedad,627.790€,20,13,239,0,0,0,1,0,7,0,17,51,0,7,0,0,0,0,0,0,0,0
Diedhiou,Granada CF,480.221€,20,12,74,0,1,1,0,2,4,3,5,33,0,3,0,0,0,0,0,1,0,0
Óscar,Getafe CF,790.616€,20,10,216,0,0,0,2,1,5,2,19,46,0,1,0,0,0,3,0,0,0,0
Jon Pacheco,Real Sociedad,490.217€,20,13,313,0,0,0,0,14,0,1,11,30,0,5,0,0,0,2,0,0,0,0
Valery,Girona FC,490.684€,19,12,304,0,0,0,3,4,0,0,25,26,0,7,0,0,0,1,0,0,0,0
Álex Fernández,Cádiz CF,522.861€,19,13,461,0,0,0,2,2,7,1,19,64,0,11,0,0,0,2,0,0,0,0
Terrats,Villarreal CF,651.088€,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jagoba Arrasate,C.A. Osasuna,495.532€,19,10,308,0,1,1,2,2,5,1,18,53,0,9,0,0,0,2,0,0,0,0
Akhomach,Villarreal CF,505.330€,18,14,162,0,0,1,0,4,0,0,16,25,0,4,0,0,0,1,0,0,0,0
Guillamón,Valencia CF,562.759€,18,14,141,1,1,1,0,2,1,1,7,25,0,4,0,0,0,0,0,0,0,0
Villalibre,Athletic Club,554.121€,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio González,Cádiz CF,485.166€,18,5,267,0,0,1,0,1,2,3,23,45,0,5,0,0,0,0,0,0,0,0
Canós,Valencia CF,694.630€,17,13,544,0,0,0,1,20,0,0,28,45,0,10,0,0,0,3,1,0,0,0
Domingos Duarte,Getafe CF,816.252€,17,12,179,0,0,0,1,0,0,0,17,22,0,3,0,0,0,0,0,0,0,0
Benavidez,Deportivo Alavés,498.424€,17,11,324,0,0,0,0,6,1,0,28,64,0,6,0,0,1,1,0,0,0,0
Dotor,RC Celta,520.065€,17,14,323,0,0,0,0,2,1,0,26,39,0,7,0,0,0,0,0,0,0,0
Kike Barja,C.A. Osasuna,502.438€,17,11,234,0,0,0,3,1,8,2,16,53,0,7,0,0,0,2,0,0,0,0
Javier Aguirre,RCD Mallorca,494.557€,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Pires,Cádiz CF,528.799€,17,9,429,1,0,0,6,10,6,2,33,75,0,9,0,0,0,2,0,0,0,0
Mandi,Villarreal CF,587.957€,16,13,466,0,0,1,0,16,0,1,27,29,0,8,0,0,1,2,0,0,0,0
Sergi Roberto,FC Barcelona,651.806€,16,9,189,1,0,0,2,0,0,1,16,16,0,3,0,0,0,0,0,0,0,0
Imanol,Athletic Club,550.521€,16,14,259,0,0,0,5,5,3,0,23,30,0,4,0,0,0,0,0,0,0,0
Comesaña,Villarreal CF,696.074€,16,14,317,0,0,0,0,5,3,1,22,41,0,5,0,0,0,4,0,0,0,0
Pablo Torre,Girona FC,571.296€,16,12,93,1,0,0,0,3,2,2,8,10,0,1,0,0,0,1,0,0,0,0
Falcao,Rayo Vallecano,505.346€,16,14,221,0,0,0,0,0,2,0,11,31,0,3,0,0,0,2,0,0,0,0
